INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Tela RELATÓRIOS DE CÁLCULOS acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 6113, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela Home
INFO main | Tela Home acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 1044, Tempo Aceitável: 10000
INFO main | Acessando a Tela...
INFO main | #########################################################################
INFO main | RELATÓRIOS DE CÁLCULOS - TESTE INICIADO EM Wed Jul 30 15:59:38 BRT 2014
INFO main | #########################################################################
INFO main | ----------------------------------------------------
INFO main | URL: http://166.78.0.215:8092/taxbr-web/pages/index.jsf
INFO main | USUARIO: ADM
INFO main | SENHA: adm@2014
INFO main | NAVEGADOR: chrome
INFO main | TESTE: RELATÓRIOS DE CÁLCULOS
INFO main | ----------------------------------------------------
INFO main | Acessando aplicação no endereco http://166.78.0.215:8092/taxbr-web/pages/index.jsf, utilizando o navegador: chrome
INFO main | Aguardando tela de login ser carregada | Tentativa 1 de 101
INFO main | Tela carregada com sucesso!
INFO main | ----------------------------------------------------
INFO main | ACESSANDO A APLICACAO
INFO main | ----------------------------------------------------
INFO main | Digitando usuario: ADM
INFO main | Digitando senha: adm@2014
INFO main | Clicando no botão 'Entrar'
INFO main | Aguardando o acesso a aplicacao...
INFO main | Aplicacao acessada com sucesso!
INFO main | Acessando o módulo ONESOURCE ECF...
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Tela RELATÓRIOS DE CÁLCULOS acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 5453, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Tela RELATÓRIOS DE CÁLCULOS acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 6180, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela Home
INFO main | Tela Home acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 1052, Tempo Aceitável: 10000
INFO main | Acessando a Tela...
INFO main | Relatórios >
INFO main | Relatórios de Cálculos
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Tela 'Relatórios > Relatórios de Cálculos' acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 4101, Tempo Aceitável: 10000
INFO main | #########################################################################
INFO main | RELATÓRIOS DE CÁLCULOS - TESTE INICIADO EM Wed Jul 30 16:00:40 BRT 2014
INFO main | #########################################################################
INFO main | ----------------------------------------------------
INFO main | URL: http://166.78.0.215:8092/taxbr-web/pages/index.jsf
INFO main | USUARIO: ADM
INFO main | SENHA: adm@2014
INFO main | NAVEGADOR: chrome
INFO main | TESTE: RELATÓRIOS DE CÁLCULOS
INFO main | ----------------------------------------------------
INFO main | Acessando aplicação no endereco http://166.78.0.215:8092/taxbr-web/pages/index.jsf, utilizando o navegador: chrome
INFO main | Aguardando tela de login ser carregada | Tentativa 1 de 101
INFO main | Tela carregada com sucesso!
INFO main | ----------------------------------------------------
INFO main | ACESSANDO A APLICACAO
INFO main | ----------------------------------------------------
INFO main | Digitando usuario: ADM
INFO main | Digitando senha: adm@2014
INFO main | Clicando no botão 'Entrar'
INFO main | Aguardando o acesso a aplicacao...
INFO main | Aplicacao acessada com sucesso!
INFO main | Acessando o módulo ONESOURCE ECF...
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Tela RELATÓRIOS DE CÁLCULOS acessada com sucesso!!
INFO main | #ALERTA# Tempo de Carregamento: 18747, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
